------------------------------------------------------------------------------------
Date: 9/27/2024 -- 16:14:48 (uptime: 0d, 00h 00m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
tcp.active_sessions                           | Total                     | 505
flow.total                                    | Total                     | 881
flow.active                                   | Total                     | 759
flow.tcp                                      | Total                     | 547
flow.udp                                      | Total                     | 334
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 31
flow.wrk.flows_evicted_pkt_inject             | Total                     | 49
flow.wrk.flows_evicted                        | Total                     | 86
flow.wrk.flows_injected                       | Total                     | 29
flow.wrk.flows_injected_max                   | Total                     | 19
tcp.sessions                                  | Total                     | 547
tcp.ssn_from_cache                            | Total                     | 31
tcp.ssn_from_pool                             | Total                     | 516
tcp.segment_from_cache                        | Total                     | 2611
tcp.segment_from_pool                         | Total                     | 7634
tcp.stream_depth_reached                      | Total                     | 2
tcp.overlap                                   | Total                     | 17
detect.alert                                  | Total                     | 448
detect.alerts_suppressed                      | Total                     | 212
app_layer.flow.http                           | Total                     | 324
app_layer.tx.http                             | Total                     | 437
app_layer.flow.tls                            | Total                     | 128
app_layer.flow.dns_udp                        | Total                     | 272
app_layer.tx.dns_udp                          | Total                     | 564
app_layer.flow.failed_udp                     | Total                     | 62
flow.end.state.new                            | Total                     | 39
flow.end.state.established                    | Total                     | 45
flow.end.state.closed                         | Total                     | 38
flow.end.tcp_state.syn_sent                   | Total                     | 4
flow.end.tcp_state.time_wait                  | Total                     | 5
flow.end.tcp_state.closed                     | Total                     | 33
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9612
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 69
flow.mgr.flows_notimeout                      | Total                     | 4
flow.mgr.flows_timeout                        | Total                     | 65
flow.mgr.flows_evicted                        | Total                     | 65
flow.mgr.flows_evicted_needs_work             | Total                     | 29
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 36
flow.recycler.queue_max                       | Total                     | 24
tcp.memuse                                    | Total                     | 607360
tcp.reassembly_memuse                         | Total                     | 10401264
http.memuse                                   | Total                     | 1011767
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 9/27/2024 -- 16:14:56 (uptime: 0d, 00h 00m 33s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
tcp.active_sessions                           | Total                     | 505
flow.total                                    | Total                     | 881
flow.active                                   | Total                     | 759
flow.tcp                                      | Total                     | 547
flow.udp                                      | Total                     | 334
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 31
flow.wrk.flows_evicted_pkt_inject             | Total                     | 49
flow.wrk.flows_evicted                        | Total                     | 86
flow.wrk.flows_injected                       | Total                     | 29
flow.wrk.flows_injected_max                   | Total                     | 19
tcp.sessions                                  | Total                     | 547
tcp.ssn_from_cache                            | Total                     | 31
tcp.ssn_from_pool                             | Total                     | 516
tcp.segment_from_cache                        | Total                     | 2611
tcp.segment_from_pool                         | Total                     | 7634
tcp.stream_depth_reached                      | Total                     | 2
tcp.overlap                                   | Total                     | 17
detect.alert                                  | Total                     | 448
detect.alerts_suppressed                      | Total                     | 212
app_layer.flow.http                           | Total                     | 324
app_layer.tx.http                             | Total                     | 437
app_layer.flow.tls                            | Total                     | 128
app_layer.flow.dns_udp                        | Total                     | 272
app_layer.tx.dns_udp                          | Total                     | 564
